,annotation_id,policy_id,segment_id,data_practice,label,selected_text,content_json,start,end
10,4498,3699,1,First Party Collection/Use,0,make the application more user-friendly,"{""Collection Mode"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": 149, ""startIndexInSegment"": 142, ""selectedText"": ""cookies"", ""value"": ""Other""}, ""Personal Information Type"": {""endIndexInSegment"": 181, ""startIndexInSegment"": 159, ""selectedText"": ""user login information"", ""value"": ""User profile""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": 181, ""startIndexInSegment"": 159, ""selectedText"": ""user login information"", ""value"": ""Other""}, ""Does/Does Not"": {""endIndexInSegment"": 149, ""startIndexInSegment"": 135, ""selectedText"": ""do use cookies"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": 242, ""startIndexInSegment"": 203, ""selectedText"": ""make the application more user-friendly"", ""value"": ""Personalization/Customization""}}",203,242
11,7528,3699,1,First Party Collection/Use,0,"Typically, we do not use cookies to collect information on the UH Central Web server (www.uh.edu). However, the following applications do use cookies to store user login information which is intended to make the application more user-friendly: IT Forum WebCT","{""Collection Mode"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Action First-Party"": {""endIndexInSegment"": 268, ""startIndexInSegment"": 0, ""selectedText"": ""Typically, we do not use cookies to collect information on the UH Central Web server (www.uh.edu). However, the following applications do use cookies to store user login information which is intended to make the application more user-friendly: IT Forum WebCT"", ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 181, ""startIndexInSegment"": 135, ""selectedText"": ""do use cookies to store user login information"", ""value"": ""Cookies and tracking elements""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": 181, ""startIndexInSegment"": 150, ""selectedText"": ""to store user login information"", ""value"": ""User with account""}, ""Purpose"": {""endIndexInSegment"": 243, ""startIndexInSegment"": 182, ""selectedText"": ""which is intended to make the application more user-friendly:"", ""value"": ""Basic service/feature""}}",0,268
12,7528,3699,1,First Party Collection/Use,0,do use cookies to store user login information,"{""Collection Mode"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Action First-Party"": {""endIndexInSegment"": 268, ""startIndexInSegment"": 0, ""selectedText"": ""Typically, we do not use cookies to collect information on the UH Central Web server (www.uh.edu). However, the following applications do use cookies to store user login information which is intended to make the application more user-friendly: IT Forum WebCT"", ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 181, ""startIndexInSegment"": 135, ""selectedText"": ""do use cookies to store user login information"", ""value"": ""Cookies and tracking elements""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": 181, ""startIndexInSegment"": 150, ""selectedText"": ""to store user login information"", ""value"": ""User with account""}, ""Purpose"": {""endIndexInSegment"": 243, ""startIndexInSegment"": 182, ""selectedText"": ""which is intended to make the application more user-friendly:"", ""value"": ""Basic service/feature""}}",135,181
13,7528,3699,1,First Party Collection/Use,0,to store user login information,"{""Collection Mode"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Action First-Party"": {""endIndexInSegment"": 268, ""startIndexInSegment"": 0, ""selectedText"": ""Typically, we do not use cookies to collect information on the UH Central Web server (www.uh.edu). However, the following applications do use cookies to store user login information which is intended to make the application more user-friendly: IT Forum WebCT"", ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 181, ""startIndexInSegment"": 135, ""selectedText"": ""do use cookies to store user login information"", ""value"": ""Cookies and tracking elements""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": 181, ""startIndexInSegment"": 150, ""selectedText"": ""to store user login information"", ""value"": ""User with account""}, ""Purpose"": {""endIndexInSegment"": 243, ""startIndexInSegment"": 182, ""selectedText"": ""which is intended to make the application more user-friendly:"", ""value"": ""Basic service/feature""}}",150,181
14,7528,3699,1,First Party Collection/Use,0,which is intended to make the application more user-friendly:,"{""Collection Mode"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Action First-Party"": {""endIndexInSegment"": 268, ""startIndexInSegment"": 0, ""selectedText"": ""Typically, we do not use cookies to collect information on the UH Central Web server (www.uh.edu). However, the following applications do use cookies to store user login information which is intended to make the application more user-friendly: IT Forum WebCT"", ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 181, ""startIndexInSegment"": 135, ""selectedText"": ""do use cookies to store user login information"", ""value"": ""Cookies and tracking elements""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": 181, ""startIndexInSegment"": 150, ""selectedText"": ""to store user login information"", ""value"": ""User with account""}, ""Purpose"": {""endIndexInSegment"": 243, ""startIndexInSegment"": 182, ""selectedText"": ""which is intended to make the application more user-friendly:"", ""value"": ""Basic service/feature""}}",182,243
15,7529,3699,1,Data Retention,4,use cookies to store user login information,"{""Personal Information Type"": {""endIndexInSegment"": 181, ""startIndexInSegment"": 138, ""selectedText"": ""use cookies to store user login information"", ""value"": ""Cookies and tracking elements""}, ""Retention Period"": {""endIndexInSegment"": 268, ""startIndexInSegment"": 0, ""selectedText"": ""Typically, we do not use cookies to collect information on the UH Central Web server (www.uh.edu). However, the following applications do use cookies to store user login information which is intended to make the application more user-friendly: IT Forum WebCT"", ""value"": ""Unspecified""}, ""Retention Purpose"": {""endIndexInSegment"": 243, ""startIndexInSegment"": 135, ""selectedText"": ""do use cookies to store user login information which is intended to make the application more user-friendly:"", ""value"": ""Perform service""}}",138,181
16,7529,3699,1,Data Retention,4,"Typically, we do not use cookies to collect information on the UH Central Web server (www.uh.edu). However, the following applications do use cookies to store user login information which is intended to make the application more user-friendly: IT Forum WebCT","{""Personal Information Type"": {""endIndexInSegment"": 181, ""startIndexInSegment"": 138, ""selectedText"": ""use cookies to store user login information"", ""value"": ""Cookies and tracking elements""}, ""Retention Period"": {""endIndexInSegment"": 268, ""startIndexInSegment"": 0, ""selectedText"": ""Typically, we do not use cookies to collect information on the UH Central Web server (www.uh.edu). However, the following applications do use cookies to store user login information which is intended to make the application more user-friendly: IT Forum WebCT"", ""value"": ""Unspecified""}, ""Retention Purpose"": {""endIndexInSegment"": 243, ""startIndexInSegment"": 135, ""selectedText"": ""do use cookies to store user login information which is intended to make the application more user-friendly:"", ""value"": ""Perform service""}}",0,268
17,7529,3699,1,Data Retention,4,do use cookies to store user login information which is intended to make the application more user-friendly:,"{""Personal Information Type"": {""endIndexInSegment"": 181, ""startIndexInSegment"": 138, ""selectedText"": ""use cookies to store user login information"", ""value"": ""Cookies and tracking elements""}, ""Retention Period"": {""endIndexInSegment"": 268, ""startIndexInSegment"": 0, ""selectedText"": ""Typically, we do not use cookies to collect information on the UH Central Web server (www.uh.edu). However, the following applications do use cookies to store user login information which is intended to make the application more user-friendly: IT Forum WebCT"", ""value"": ""Unspecified""}, ""Retention Purpose"": {""endIndexInSegment"": 243, ""startIndexInSegment"": 135, ""selectedText"": ""do use cookies to store user login information which is intended to make the application more user-friendly:"", ""value"": ""Perform service""}}",135,243
18,14316,3699,1,Third Party Sharing/Collection,1,IT Forum WebCT,"{""Third Party Entity"": {""endIndexInSegment"": 268, ""startIndexInSegment"": 254, ""selectedText"": ""IT Forum WebCT"", ""value"": ""Named third party""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": 243, ""startIndexInSegment"": 200, ""selectedText"": ""to make the application more user-friendly:"", ""value"": ""Analytics/Research""}, ""Personal Information Type"": {""endIndexInSegment"": 149, ""startIndexInSegment"": 142, ""selectedText"": ""cookies"", ""value"": ""Cookies and tracking elements""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 141, ""startIndexInSegment"": 135, ""selectedText"": ""do use"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action Third Party"": {""endIndexInSegment"": 181, ""startIndexInSegment"": 108, ""selectedText"": ""the following applications do use cookies to store user login information"", ""value"": ""Collect on first party website/app""}}",254,268
19,14316,3699,1,Third Party Sharing/Collection,1,to make the application more user-friendly:,"{""Third Party Entity"": {""endIndexInSegment"": 268, ""startIndexInSegment"": 254, ""selectedText"": ""IT Forum WebCT"", ""value"": ""Named third party""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": 243, ""startIndexInSegment"": 200, ""selectedText"": ""to make the application more user-friendly:"", ""value"": ""Analytics/Research""}, ""Personal Information Type"": {""endIndexInSegment"": 149, ""startIndexInSegment"": 142, ""selectedText"": ""cookies"", ""value"": ""Cookies and tracking elements""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 141, ""startIndexInSegment"": 135, ""selectedText"": ""do use"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action Third Party"": {""endIndexInSegment"": 181, ""startIndexInSegment"": 108, ""selectedText"": ""the following applications do use cookies to store user login information"", ""value"": ""Collect on first party website/app""}}",200,243
20,14316,3699,1,Third Party Sharing/Collection,1,cookies,"{""Third Party Entity"": {""endIndexInSegment"": 268, ""startIndexInSegment"": 254, ""selectedText"": ""IT Forum WebCT"", ""value"": ""Named third party""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": 243, ""startIndexInSegment"": 200, ""selectedText"": ""to make the application more user-friendly:"", ""value"": ""Analytics/Research""}, ""Personal Information Type"": {""endIndexInSegment"": 149, ""startIndexInSegment"": 142, ""selectedText"": ""cookies"", ""value"": ""Cookies and tracking elements""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 141, ""startIndexInSegment"": 135, ""selectedText"": ""do use"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action Third Party"": {""endIndexInSegment"": 181, ""startIndexInSegment"": 108, ""selectedText"": ""the following applications do use cookies to store user login information"", ""value"": ""Collect on first party website/app""}}",142,149
21,14316,3699,1,Third Party Sharing/Collection,1,the following applications do use cookies to store user login information,"{""Third Party Entity"": {""endIndexInSegment"": 268, ""startIndexInSegment"": 254, ""selectedText"": ""IT Forum WebCT"", ""value"": ""Named third party""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": 243, ""startIndexInSegment"": 200, ""selectedText"": ""to make the application more user-friendly:"", ""value"": ""Analytics/Research""}, ""Personal Information Type"": {""endIndexInSegment"": 149, ""startIndexInSegment"": 142, ""selectedText"": ""cookies"", ""value"": ""Cookies and tracking elements""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 141, ""startIndexInSegment"": 135, ""selectedText"": ""do use"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action Third Party"": {""endIndexInSegment"": 181, ""startIndexInSegment"": 108, ""selectedText"": ""the following applications do use cookies to store user login information"", ""value"": ""Collect on first party website/app""}}",108,181
22,14316,3699,1,Third Party Sharing/Collection,1,do use,"{""Third Party Entity"": {""endIndexInSegment"": 268, ""startIndexInSegment"": 254, ""selectedText"": ""IT Forum WebCT"", ""value"": ""Named third party""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": 243, ""startIndexInSegment"": 200, ""selectedText"": ""to make the application more user-friendly:"", ""value"": ""Analytics/Research""}, ""Personal Information Type"": {""endIndexInSegment"": 149, ""startIndexInSegment"": 142, ""selectedText"": ""cookies"", ""value"": ""Cookies and tracking elements""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 141, ""startIndexInSegment"": 135, ""selectedText"": ""do use"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action Third Party"": {""endIndexInSegment"": 181, ""startIndexInSegment"": 108, ""selectedText"": ""the following applications do use cookies to store user login information"", ""value"": ""Collect on first party website/app""}}",135,141
23,14318,3699,1,First Party Collection/Use,0,on the UH Central Web server (www.uh.edu).,"{""Collection Mode"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": 98, ""startIndexInSegment"": 56, ""selectedText"": ""on the UH Central Web server (www.uh.edu)."", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": 32, ""startIndexInSegment"": 25, ""selectedText"": ""cookies"", ""value"": ""Cookies and tracking elements""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 24, ""startIndexInSegment"": 11, ""selectedText"": ""we do not use"", ""value"": ""Does Not""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}}",56,98
